basic_date,stockname,stock_code,open_value,high_value,low_value,close_value,volume_value
20171222,GS±Û·Î¹ú,1250,2700,2760,2680,2745,199593
20171221,GS±Û·Î¹ú,1250,2770,2785,2690,2690,461741
20171220,GS±Û·Î¹ú,1250,2815,2820,2725,2760,322814
20171219,GS±Û·Î¹ú,1250,2900,2905,2800,2810,429134
20171218,GS±Û·Î¹ú,1250,2910,2925,2885,2895,251048
20171215,GS±Û·Î¹ú,1250,2890,2945,2890,2930,155325
20171214,GS±Û·Î¹ú,1250,2885,2925,2885,2905,129954
20171213,GS±Û·Î¹ú,1250,2860,2910,2855,2900,208632
20171212,GS±Û·Î¹ú,1250,2910,2910,2855,2860,347706
20171211,GS±Û·Î¹ú,1250,2915,2935,2900,2910,320170
20171208,GS±Û·Î¹ú,1250,2955,2975,2900,2915,440650
20171207,GS±Û·Î¹ú,1250,3025,3025,2955,2965,486656
20171206,GS±Û·Î¹ú,1250,3060,3065,3005,3020,264723
20171205,GS±Û·Î¹ú,1250,3015,3065,3005,3060,215537
20171204,GS±Û·Î¹ú,1250,2995,3020,2990,3010,188169
20171201,GS±Û·Î¹ú,1250,3020,3030,2995,2995,266128
20171130,GS±Û·Î¹ú,1250,3035,3040,3015,3015,257796
20171129,GS±Û·Î¹ú,1250,3065,3065,3025,3025,265868
20171128,GS±Û·Î¹ú,1250,3075,3095,3050,3065,152933
20171127,GS±Û·Î¹ú,1250,3020,3090,3020,3080,261472
20171124,GS±Û·Î¹ú,1250,3055,3055,3015,3030,248651
20171123,GS±Û·Î¹ú,1250,3045,3070,3030,3060,115883
20171122,GS±Û·Î¹ú,1250,3060,3085,3030,3045,270873
20171121,GS±Û·Î¹ú,1250,3125,3125,3060,3065,405711
20171120,GS±Û·Î¹ú,1250,3120,3130,3090,3110,200977
20171117,GS±Û·Î¹ú,1250,3080,3120,3080,3120,301772
20171116,GS±Û·Î¹ú,1250,3090,3105,3050,3075,241273
20171115,GS±Û·Î¹ú,1250,3135,3140,3055,3080,584702
20171114,GS±Û·Î¹ú,1250,3155,3170,3090,3120,590683
20171113,GS±Û·Î¹ú,1250,3205,3230,3115,3155,618437
20171110,GS±Û·Î¹ú,1250,3295,3295,3175,3190,646817
20171109,GS±Û·Î¹ú,1250,3235,3325,3220,3285,796136
20171108,GS±Û·Î¹ú,1250,3205,3240,3180,3205,283618
20171107,GS±Û·Î¹ú,1250,3145,3215,3125,3210,341869
20171106,GS±Û·Î¹ú,1250,3160,3180,3125,3145,211467
20171103,GS±Û·Î¹ú,1250,3120,3160,3110,3155,208658
20171102,GS±Û·Î¹ú,1250,3145,3145,3090,3110,133642
20171101,GS±Û·Î¹ú,1250,3140,3165,3100,3120,236670
20171031,GS±Û·Î¹ú,1250,3095,3130,3055,3120,240850
20171030,GS±Û·Î¹ú,1250,3125,3135,3085,3095,165885
20171027,GS±Û·Î¹ú,1250,3090,3120,3080,3105,181015
20171026,GS±Û·Î¹ú,1250,3065,3115,3040,3080,264942
20171025,GS±Û·Î¹ú,1250,3105,3115,3060,3065,180368
20171024,GS±Û·Î¹ú,1250,3095,3135,3090,3100,143983
20171023,GS±Û·Î¹ú,1250,3125,3145,3070,3095,258069
20171020,GS±Û·Î¹ú,1250,3020,3110,3020,3110,326509
20171019,GS±Û·Î¹ú,1250,2955,3015,2955,3015,222579
20171018,GS±Û·Î¹ú,1250,3010,3015,2950,2955,430493
20171017,GS±Û·Î¹ú,1250,3000,3050,2995,3015,267259
20171016,GS±Û·Î¹ú,1250,3065,3075,2995,3010,223090
20171013,GS±Û·Î¹ú,1250,3065,3075,3030,3055,231752
20171012,GS±Û·Î¹ú,1250,3080,3105,3055,3065,185652
20171011,GS±Û·Î¹ú,1250,3025,3090,3015,3080,191948
20171010,GS±Û·Î¹ú,1250,3045,3060,3010,3025,222649
20170929,GS±Û·Î¹ú,1250,3015,3060,3015,3035,142560
20170928,GS±Û·Î¹ú,1250,3080,3085,2990,3035,297427
20170927,GS±Û·Î¹ú,1250,3010,3085,3010,3070,215864
20170926,GS±Û·Î¹ú,1250,2915,3045,2915,3020,179841
20170925,GS±Û·Î¹ú,1250,3010,3055,2955,2970,414293
20170922,GS±Û·Î¹ú,1250,3095,3120,3010,3010,500871
20170921,GS±Û·Î¹ú,1250,3115,3145,3090,3100,290423
20170920,GS±Û·Î¹ú,1250,3220,3235,3120,3120,510643
20170919,GS±Û·Î¹ú,1250,3280,3285,3210,3230,270255
20170918,GS±Û·Î¹ú,1250,3220,3270,3210,3250,290884
20170915,GS±Û·Î¹ú,1250,3230,3265,3185,3210,454436
20170914,GS±Û·Î¹ú,1250,3325,3340,3240,3240,466069
20170913,GS±Û·Î¹ú,1250,3320,3395,3300,3325,441523
20170912,GS±Û·Î¹ú,1250,3280,3320,3260,3320,386376
20170911,GS±Û·Î¹ú,1250,3285,3325,3265,3280,319947
20170908,GS±Û·Î¹ú,1250,3375,3375,3250,3285,498986
20170907,GS±Û·Î¹ú,1250,3350,3365,3320,3350,247480
20170906,GS±Û·Î¹ú,1250,3355,3410,3325,3335,451074
20170905,GS±Û·Î¹ú,1250,3400,3435,3325,3380,533223
20170904,GS±Û·Î¹ú,1250,3370,3445,3370,3385,691052
20170901,GS±Û·Î¹ú,1250,3535,3535,3415,3475,686048
20170831,GS±Û·Î¹ú,1250,3515,3565,3465,3500,886909
20170830,GS±Û·Î¹ú,1250,3615,3635,3455,3485,1426310
20170829,GS±Û·Î¹ú,1250,3530,3625,3475,3620,938623
20170828,GS±Û·Î¹ú,1250,3555,3565,3485,3530,714576
20170825,GS±Û·Î¹ú,1250,3420,3540,3415,3510,1339227
20170824,GS±Û·Î¹ú,1250,3410,3480,3400,3415,829308
20170823,GS±Û·Î¹ú,1250,3470,3485,3380,3405,1085054
20170822,GS±Û·Î¹ú,1250,3415,3480,3360,3455,1482792
20170821,GS±Û·Î¹ú,1250,3335,3405,3290,3380,1086597
20170818,GS±Û·Î¹ú,1250,3270,3305,3240,3295,510519
20170817,GS±Û·Î¹ú,1250,3230,3325,3210,3300,915820
20170816,GS±Û·Î¹ú,1250,3145,3255,3145,3230,769187
20170814,GS±Û·Î¹ú,1250,3025,3165,3025,3145,594289
20170811,GS±Û·Î¹ú,1250,2910,3090,2910,3010,710581
20170810,GS±Û·Î¹ú,1250,3005,3020,2955,2985,303330
20170809,GS±Û·Î¹ú,1250,3025,3035,3005,3015,151271
20170808,GS±Û·Î¹ú,1250,3045,3075,3000,3040,242692
20170807,GS±Û·Î¹ú,1250,3040,3075,3015,3040,135259
20170804,GS±Û·Î¹ú,1250,3080,3085,3025,3035,221320
20170803,GS±Û·Î¹ú,1250,3160,3165,3045,3075,270000
20170802,GS±Û·Î¹ú,1250,3185,3185,3135,3150,125923
20170801,GS±Û·Î¹ú,1250,3070,3175,3070,3160,185243
20170731,GS±Û·Î¹ú,1250,3105,3125,3050,3100,262768
20170728,GS±Û·Î¹ú,1250,3155,3170,3100,3115,229559
20170727,GS±Û·Î¹ú,1250,3120,3170,3110,3150,162507
20170726,GS±Û·Î¹ú,1250,3140,3165,3095,3120,196012
20170725,GS±Û·Î¹ú,1250,3200,3220,3120,3135,262772
20170724,GS±Û·Î¹ú,1250,3200,3235,3180,3210,195318
20170721,GS±Û·Î¹ú,1250,3250,3260,3200,3220,189415
20170720,GS±Û·Î¹ú,1250,3245,3260,3210,3245,155163
20170719,GS±Û·Î¹ú,1250,3205,3250,3205,3220,209278
20170718,GS±Û·Î¹ú,1250,3135,3230,3135,3205,364502
20170717,GS±Û·Î¹ú,1250,3145,3160,3115,3140,117132
20170714,GS±Û·Î¹ú,1250,3200,3205,3135,3140,134529
20170713,GS±Û·Î¹ú,1250,3125,3215,3110,3170,276731
20170712,GS±Û·Î¹ú,1250,3095,3140,3095,3130,162159
20170711,GS±Û·Î¹ú,1250,3065,3135,3065,3100,171540
20170710,GS±Û·Î¹ú,1250,3140,3140,3080,3100,343492
20170707,GS±Û·Î¹ú,1250,3140,3155,3115,3135,133167
20170706,GS±Û·Î¹ú,1250,3130,3150,3100,3135,164503
20170705,GS±Û·Î¹ú,1250,3155,3160,3125,3130,225052
20170704,GS±Û·Î¹ú,1250,3175,3200,3145,3155,227553
20170703,GS±Û·Î¹ú,1250,3145,3175,3135,3175,241596
20170630,GS±Û·Î¹ú,1250,3170,3175,3135,3145,263703
20170629,GS±Û·Î¹ú,1250,3180,3185,3140,3180,230968
20170628,GS±Û·Î¹ú,1250,3140,3165,3120,3140,190928
20170627,GS±Û·Î¹ú,1250,3130,3175,3125,3135,342227
20170626,GS±Û·Î¹ú,1250,3245,3265,3095,3110,886444
20170623,GS±Û·Î¹ú,1250,3245,3275,3225,3235,188612
20170622,GS±Û·Î¹ú,1250,3295,3315,3220,3240,482130
20170621,GS±Û·Î¹ú,1250,3385,3385,3280,3295,385551
20170620,GS±Û·Î¹ú,1250,3410,3455,3340,3385,538338
20170619,GS±Û·Î¹ú,1250,3375,3445,3335,3400,509065
20170616,GS±Û·Î¹ú,1250,3295,3335,3255,3330,372292
20170615,GS±Û·Î¹ú,1250,3310,3340,3250,3295,209742
20170614,GS±Û·Î¹ú,1250,3335,3355,3280,3295,364619
20170613,GS±Û·Î¹ú,1250,3250,3330,3245,3320,266138
20170612,GS±Û·Î¹ú,1250,3290,3315,3220,3235,501077
20170609,GS±Û·Î¹ú,1250,3365,3370,3320,3320,259856
20170608,GS±Û·Î¹ú,1250,3330,3360,3305,3355,323273
20170607,GS±Û·Î¹ú,1250,3355,3375,3305,3325,540890
20170605,GS±Û·Î¹ú,1250,3410,3425,3350,3370,453333
20170602,GS±Û·Î¹ú,1250,3405,3440,3380,3410,368310
20170601,GS±Û·Î¹ú,1250,3470,3490,3360,3405,710103
20170531,GS±Û·Î¹ú,1250,3445,3515,3405,3470,774535
20170530,GS±Û·Î¹ú,1250,3450,3480,3405,3440,448070
20170529,GS±Û·Î¹ú,1250,3460,3510,3420,3445,583150
20170526,GS±Û·Î¹ú,1250,3490,3545,3420,3455,1105267
20170525,GS±Û·Î¹ú,1250,3335,3495,3330,3465,1745473
20170524,GS±Û·Î¹ú,1250,3385,3385,3330,3335,405093
20170523,GS±Û·Î¹ú,1250,3385,3385,3330,3360,524801
20170522,GS±Û·Î¹ú,1250,3285,3365,3275,3355,753958
20170519,GS±Û·Î¹ú,1250,3265,3295,3245,3270,303245
20170518,GS±Û·Î¹ú,1250,3180,3270,3175,3270,329876
20170517,GS±Û·Î¹ú,1250,3280,3325,3215,3230,643663
20170516,GS±Û·Î¹ú,1250,3355,3375,3285,3310,490265
20170515,GS±Û·Î¹ú,1250,3305,3395,3270,3335,1063936
20170512,GS±Û·Î¹ú,1250,3240,3285,3220,3280,432906
20170511,GS±Û·Î¹ú,1250,3240,3295,3235,3235,523188
20170510,GS±Û·Î¹ú,1250,3255,3305,3230,3250,744589
20170508,GS±Û·Î¹ú,1250,3280,3300,3225,3250,490300
20170504,GS±Û·Î¹ú,1250,3200,3310,3190,3280,738190
20170502,GS±Û·Î¹ú,1250,3270,3290,3220,3220,608301
20170428,GS±Û·Î¹ú,1250,3200,3320,3200,3270,1368271
20170427,GS±Û·Î¹ú,1250,3210,3260,3170,3220,979827
20170426,GS±Û·Î¹ú,1250,3110,3260,3060,3225,2277818
20170425,GS±Û·Î¹ú,1250,3115,3450,3105,3105,10020432
20170424,GS±Û·Î¹ú,1250,2960,2995,2935,2935,228494
20170421,GS±Û·Î¹ú,1250,2970,3010,2955,2970,294692
20170420,GS±Û·Î¹ú,1250,2980,2990,2950,2965,173423
20170419,GS±Û·Î¹ú,1250,2920,2995,2910,2980,343212
20170418,GS±Û·Î¹ú,1250,2925,2940,2895,2920,259970
20170417,GS±Û·Î¹ú,1250,2905,2935,2905,2920,180534
20170414,GS±Û·Î¹ú,1250,2970,2975,2900,2910,298443
20170413,GS±Û·Î¹ú,1250,2950,3000,2940,2970,213849
20170412,GS±Û·Î¹ú,1250,2930,2965,2930,2955,212644
20170411,GS±Û·Î¹ú,1250,2930,2970,2880,2930,470573
20170410,GS±Û·Î¹ú,1250,3040,3050,2900,2930,905957
20170407,GS±Û·Î¹ú,1250,3045,3065,3020,3045,183599
20170406,GS±Û·Î¹ú,1250,3100,3100,3020,3030,368170
20170405,GS±Û·Î¹ú,1250,3120,3125,3065,3075,380606
20170404,GS±Û·Î¹ú,1250,3100,3135,3080,3110,398447
20170403,GS±Û·Î¹ú,1250,3170,3170,3100,3125,335450
20170331,GS±Û·Î¹ú,1250,2995,3145,2995,3145,847880
20170330,GS±Û·Î¹ú,1250,3040,3065,2995,3000,465015
20170329,GS±Û·Î¹ú,1250,3080,3110,3030,3045,271481
20170328,GS±Û·Î¹ú,1250,3010,3070,3010,3050,277280
20170327,GS±Û·Î¹ú,1250,3055,3110,3025,3030,387634
20170324,GS±Û·Î¹ú,1250,3070,3105,3065,3090,180073
20170323,GS±Û·Î¹ú,1250,3090,3150,3060,3070,375138
20170322,GS±Û·Î¹ú,1250,3095,3140,3080,3095,185639
20170321,GS±Û·Î¹ú,1250,3070,3145,3050,3115,291591
20170320,GS±Û·Î¹ú,1250,3140,3140,3060,3070,369935
20170317,GS±Û·Î¹ú,1250,3165,3195,3145,3145,221582
20170316,GS±Û·Î¹ú,1250,3175,3205,3140,3170,291009
20170315,GS±Û·Î¹ú,1250,3115,3220,3110,3165,549523
20170314,GS±Û·Î¹ú,1250,3135,3150,3105,3115,260232
20170313,GS±Û·Î¹ú,1250,3115,3180,3110,3135,281072
20170310,GS±Û·Î¹ú,1250,3085,3180,3025,3135,529747
20170309,GS±Û·Î¹ú,1250,3065,3160,3065,3095,302553
20170308,GS±Û·Î¹ú,1250,3110,3125,3070,3085,170030
20170307,GS±Û·Î¹ú,1250,3010,3115,3010,3110,454444
20170306,GS±Û·Î¹ú,1250,3030,3040,2970,3010,575522
20170303,GS±Û·Î¹ú,1250,3080,3110,3015,3050,395274
20170302,GS±Û·Î¹ú,1250,3065,3135,3055,3105,368733
20170228,GS±Û·Î¹ú,1250,3035,3100,3030,3035,337889
20170227,GS±Û·Î¹ú,1250,3105,3135,3025,3035,589627
20170224,GS±Û·Î¹ú,1250,3090,3150,3075,3100,356199
20170223,GS±Û·Î¹ú,1250,3185,3200,3105,3105,573912
20170222,GS±Û·Î¹ú,1250,3170,3195,3120,3185,500765
20170221,GS±Û·Î¹ú,1250,3130,3170,3070,3150,1190645
20170220,GS±Û·Î¹ú,1250,3320,3320,3115,3125,2307465
20170217,GS±Û·Î¹ú,1250,3405,3405,3320,3330,644241
20170216,GS±Û·Î¹ú,1250,3450,3475,3390,3405,498864
20170215,GS±Û·Î¹ú,1250,3480,3515,3405,3420,810373
20170214,GS±Û·Î¹ú,1250,3285,3460,3275,3460,1069771
20170213,GS±Û·Î¹ú,1250,3270,3320,3230,3280,370926
20170210,GS±Û·Î¹ú,1250,3320,3320,3280,3285,358398
20170209,GS±Û·Î¹ú,1250,3350,3360,3270,3305,665079
20170208,GS±Û·Î¹ú,1250,3230,3305,3175,3285,626672
20170207,GS±Û·Î¹ú,1250,3210,3280,3185,3215,318248
20170206,GS±Û·Î¹ú,1250,3190,3275,3165,3230,514595
20170203,GS±Û·Î¹ú,1250,3175,3310,3175,3190,1077089
20170202,GS±Û·Î¹ú,1250,3395,3400,3140,3195,2033122
20170201,GS±Û·Î¹ú,1250,3435,3470,3370,3430,804454
20170131,GS±Û·Î¹ú,1250,3370,3480,3320,3475,759993
20170126,GS±Û·Î¹ú,1250,3320,3485,3320,3390,1004712
20170125,GS±Û·Î¹ú,1250,3480,3520,3280,3315,2012575
20170124,GS±Û·Î¹ú,1250,3590,3600,3435,3490,1306220
20170123,GS±Û·Î¹ú,1250,3735,3760,3610,3615,1169071
20170120,GS±Û·Î¹ú,1250,3465,3810,3360,3705,3692296
20170119,GS±Û·Î¹ú,1250,3585,3590,3460,3460,1161534
20170118,GS±Û·Î¹ú,1250,3595,3610,3475,3570,954509
20170117,GS±Û·Î¹ú,1250,3585,3610,3530,3600,695598
20170116,GS±Û·Î¹ú,1250,3555,3635,3520,3575,1261893
