,Unnamed: 0,basic_date,stockname,stock_code,open_value,high_value,low_value,close_value,volume_value,cv_diff_value,cv_diff_rate,cv_maN_value,cv_maN_rate,ud_Nd,cv5d_diff_rate,1nn_value,3nn_value,5nn_value,7nn_value,9nn_value
0,0,20170116,GS글로벌,1250,3555,3635,3520,3575,1261893,,,,,,,,,,,
1,1,20170117,GS글로벌,1250,3585,3610,3530,3600,695598,25.0,0.006993006993006993,,,0.0,,0.0,0.0,0.0,-1.0,1.0
2,2,20170118,GS글로벌,1250,3595,3610,3475,3570,954509,-30.0,-0.008333333333333333,,,0.0,-0.032167832167832165,0.0,0.0,-1.0,0.0,-1.0
3,3,20170119,GS글로벌,1250,3585,3590,3460,3460,1161534,-110.0,-0.030812324929971987,,,0.0,0.029166666666666667,0.0,0.0,0.0,0.0,0.0
4,4,20170120,GS글로벌,1250,3465,3810,3360,3705,3692296,245.0,0.0708092485549133,3582.0,,0.0,0.012605042016806723,0.0,0.0,0.0,0.0,0.0
5,5,20170123,GS글로벌,1250,3735,3760,3610,3615,1169071,-90.0,-0.024291497975708502,3590.0,0.0022333891680625354,0.0,0.008670520231213872,0.0,0.0,0.0,0.0,0.0
6,6,20170124,GS글로벌,1250,3590,3600,3435,3490,1306220,-125.0,-0.034578146611341634,3568.0,-0.006128133704735376,-1.0,-0.10526315789473684,0.0,-1.0,-1.0,-1.0,-1.0
7,7,20170125,GS글로벌,1250,3480,3520,3280,3315,2012575,-175.0,-0.050143266475644696,3517.0,-0.014293721973094168,-1.0,-0.06224066390041494,0.0,-1.0,-1.0,-1.0,0.0
8,8,20170126,GS글로벌,1250,3320,3485,3320,3390,1004712,75.0,0.022624434389140267,3503.0,-0.003980665339778221,0.0,-0.004297994269340974,0.0,0.0,0.0,0.0,0.0
9,9,20170131,GS글로벌,1250,3370,3480,3320,3475,759993,85.0,0.025073746312684362,3457.0,-0.013131601484441906,1.0,0.03469079939668175,0.0,0.0,0.0,1.0,0.0
10,10,20170201,GS글로벌,1250,3435,3470,3370,3430,804454,-45.0,-0.012949640287769784,3420.0,-0.010702921608330923,0.0,-0.057522123893805316,0.0,-1.0,-1.0,-1.0,-1.0
11,11,20170202,GS글로벌,1250,3395,3400,3140,3195,2033122,-235.0,-0.06851311953352769,3361.0,-0.017251461988304094,-1.0,-0.08201438848920864,0.0,-1.0,-1.0,-1.0,-1.0
12,12,20170203,GS글로벌,1250,3175,3310,3175,3190,1077089,-5.0,-0.001564945226917058,3336.0,-0.007438262421898246,-1.0,-0.058309037900874626,0.0,-1.0,-1.0,-1.0,0.0
13,13,20170206,GS글로벌,1250,3190,3275,3165,3230,514595,40.0,0.012539184952978056,3304.0,-0.009592326139088728,0.0,0.006259780907668232,0.0,0.0,0.0,0.0,0.0
14,14,20170207,GS글로벌,1250,3210,3280,3185,3215,318248,-15.0,-0.004643962848297214,3252.0,-0.015738498789346248,0.0,0.02978056426332288,0.0,0.0,0.0,0.0,0.0
